id,age,sex,pair,question,speaker,type,value
5,497,F,doggy_dog,dog_caregiver2,caregiver,diminutive,100
5,497,F,birdie_bird,bird_caregiver,caregiver,diminutive,87
5,497,F,dolly_doll,doll_caregiver,caregiver,diminutive,11
5,497,F,teddy_bear,bear_caregiver,caregiver,other,86
5,497,F,blankie_blanket,blanket_caregiver,caregiver,diminutive,20
5,497,F,potty_bathroom,bathroom_caregiver,caregiver,other,20
5,497,F,tummy_stomach,stomach_caregiver,caregiver,other,50
5,497,F,mommy_mom,mom_caregiver,caregiver,diminutive,77
5,497,F,daddy_dad,dad_caregiver,caregiver,diminutive,83
5,497,F,sissy_sister,sister_caregiver,caregiver,other,50
5,497,F,auntie_aunt,aunt_caregiver,caregiver,diminutive,12
5,497,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,100
5,497,F,baabaa_sheep,sheep_child,child,onomatopoeia,0
5,497,F,doggy_dog,dog_child2,child,diminutive,0
5,497,F,daddy_dad,dad_child,child,diminutive,0
5,497,F,mommy_mom,mom_child,child,diminutive,0
5,497,F,nightnight_goodnight,goodnight_child,child,other,0
6,532,F,doggy_dog,dog_child2,child,diminutive,15
6,532,F,choochoo_train,train_caregiver,caregiver,onomatopoeia,100
6,532,F,vroomvroom_car,car_caregiver,caregiver,onomatopoeia,80
6,532,F,quackquack_duck,duck_caregiver,caregiver,onomatopoeia,100
6,532,F,baabaa_sheep,sheep_caregiver,caregiver,onomatopoeia,90
6,532,F,woofwoof_dog,dog_caregiver,caregiver,onomatopoeia,100
6,532,F,kitty_cat,cat_caregiver,caregiver,other,30
6,532,F,bunny_rabbit,rabbit_caregiver,caregiver,other,10
6,532,F,froggy_frog,frog_caregiver,caregiver,diminutive,25
6,532,F,horsey_horse,horse_caregiver,caregiver,diminutive,60
6,532,F,piggy_pig,pig_caregiver,caregiver,diminutive,60
6,532,F,fishy_fish,fish_caregiver,caregiver,diminutive,35
6,532,F,mousey_mouse,mouse_caregiver,caregiver,diminutive,50
6,532,F,duckie_duck,duck_caregiver2,caregiver,diminutive,30
6,532,F,doggy_dog,dog_caregiver2,caregiver,diminutive,15
6,532,F,birdie_bird,bird_caregiver,caregiver,diminutive,55
6,532,F,dolly_doll,doll_caregiver,caregiver,diminutive,40
6,532,F,teddy_bear,bear_caregiver,caregiver,other,100
6,532,F,potty_bathroom,bathroom_caregiver,caregiver,other,6
6,532,F,mommy_mom,mom_caregiver,caregiver,diminutive,0
6,532,F,daddy_dad,dad_caregiver,caregiver,diminutive,0
6,532,F,auntie_aunt,aunt_caregiver,caregiver,diminutive,100
6,532,F,nightnight_goodnight,goodnight_caregiver,caregiver,other,65
6,532,F,vroomvroom_car,car_child,child,onomatopoeia,0
6,532,F,baabaa_sheep,sheep_child,child,onomatopoeia,0
6,532,F,mommy_mom,mom_child,child,diminutive,0
6,532,F,daddy_dad,dad_child,child,diminutive,0
6,532,F,dolly_doll,doll_child,child,diminutive,0
6,532,F,woofwoof_dog,dog_child,child,onomatopoeia,100
