x,predicted,std.error,conf.low,conf.high,group,model
59.99,0.6761571288907212,0.0030327761671774867,0.6748541897503574,0.6774573422748807,1,child-cogsci
60.29,0.6774248674968077,0.003053524808454432,0.6761156805484363,0.678731277076783,1,child-cogsci
61.04,0.6805827907158356,0.0031072117170033017,0.679257428006338,0.6819052414925569,1,child-cogsci
61.83,0.6838913091681247,0.0031664488002963297,0.6825481155822034,0.6852314404125356,1,child-cogsci
62.65,0.6873058782140264,0.0032306912006184046,0.6859434072566074,0.6886651211533059,1,child-cogsci
62.92,0.6884257784166579,0.0032524308856686055,0.6870568040900059,0.6897914680186031,1,child-cogsci
63.9,0.6924720605136307,0.003333657645000814,0.6910789008868229,0.6938617205252042,1,child-cogsci
64.82,0.6962438811389321,0.0034130457573587313,0.6948272867835426,0.6976567610790219,1,child-cogsci
64.89,0.6965297981670374,0.0034192043025368466,0.6951113951948913,0.6979444698582815,1,child-cogsci
66.83,0.7043928442333932,0.0035960506100530276,0.7029231463988466,0.7058583137207578,1,child-cogsci
66.89,0.7046341396429993,0.0036016999135872535,0.703162824845194,0.7061012098034174,1,child-cogsci
66.99,0.7050360443090946,0.003611138103184618,0.7035620312155646,0.7065057854921197,1,child-cogsci
67.02,0.7051565536651286,0.0036139750617879027,0.7036817302797035,0.7066270969281782,1,child-cogsci
67.45,0.7068807008750478,0.0036549131183169427,0.7053942247972098,0.7083627776075941,1,child-cogsci
69.65,0.7156087549206308,0.003871872975855555,0.7140618267601213,0.7171506292161792,1,child-cogsci
70.44,0.7187044252659744,0.0039525847277892216,0.7171355920859173,0.7202679513585508,1,child-cogsci
71.06,0.7211195214750361,0.004016871275831543,0.7195334752908752,0.7227000551250848,1,child-cogsci
71.29,0.722012203662685,0.004040921580466775,0.7204197719337307,0.723599045145355,1,child-cogsci
71.49,0.7227870190045409,0.004061921380838774,0.721189035886977,0.7243793436422695,1,child-cogsci
72.41,0.7263339682939217,0.004159521325796233,0.7247104829116453,0.7279514734646958,1,child-cogsci
